Nome, Solucao, #Rotas, clocks, clocks_melhor_sol
BHW1, 337.0, 6, 14561498, 64474
BHW2, 470.0, 6, 11105059, 172224
BHW3, 415.0, 5, 9654642, 126641
BHW4, 240.0, 11, 23560970, 7563
BHW5, 502.0, 8, 155138769, 5125025
BHW6, 388.0, 6, 61917068, 2363046
BHW7, 1062.0, 24, 300347564, 239745965
BHW8, 668.0, 12, 145757448, 53639604
BHW9, 865.0, 18, 240823676, 99499042
BHW10, 8482.0, 14, 133602627, 30592018
BHW11, 4883.0, 7, 58909618, 4828454
BHW12, 10849.0, 18, 102752785, 27839688
BHW13, 14318.0, 24, 246546124, 132642685
BHW14, 24758.0, 45, 300312695, 173039736
BHW15, 15356.0, 27, 167273908, 89856665
BHW16, 43682.0, 78, 300902061, 295449897
BHW17, 25960.0, 45, 300423308, 209406323
BHW18, 15208.0, 27, 300307244, 206732687
BHW19, 9379.0, 15, 202777568, 116939114
BHW20, 16257.0, 27, 300597058, 294832138
CBMix1, 2569.0, 7, 39548015, 8289562
CBMix2, 11658.0, 26, 300281171, 194941200
CBMix3, 3614.0, 12, 67579921, 14783515
CBMix4, 7475.0, 22, 96807709, 29015317
CBMix5, 4459.0, 9, 46293171, 3392263
CBMix6, 6813.0, 15, 135267222, 54412204
CBMix7, 9323.0, 20, 300227576, 203577597
CBMix8, 10271.0, 26, 300244051, 290098026
CBMix9, 3965.0, 12, 48205022, 7026252
CBMix10, 7462.0, 25, 183838113, 106008649
CBMix11, 4456.0, 12, 109998946, 54760132
CBMix12, 3138.0, 7, 38250555, 1108049
CBMix13, 8983.0, 20, 300182815, 235994686
CBMix14, 8420.0, 16, 217288218, 156757925
CBMix15, 8164.0, 25, 170805803, 117887602
CBMix16, 8605.0, 25, 292418921, 166744677
CBMix17, 4034.0, 11, 34695522, 582201
CBMix18, 6979.0, 17, 300158632, 220918799
CBMix19, 16024.0, 28, 300327662, 207854393
CBMix20, 4738.0, 11, 61785021, 14986884
CBMix21, 17789.0, 36, 291940430, 172281635
CBMix22, 1941.0, 6, 31075573, 713396
CBMix23, 780.0, 4, 10008690, 6585
DI-NEARP-n240-Q2k, 23894.0, 8, 301435502, 215318753
DI-NEARP-n240-Q4k, 18184.0, 4, 302186186, 183449730
DI-NEARP-n240-Q8k, 15897.0, 2, 303836146, 149605992
DI-NEARP-n240-Q16k, 14717.0, 1, 307453749, 31809535
DI-NEARP-n422-Q2k, 18910.0, 9, 304044250, 255761295
DI-NEARP-n422-Q4k, 15865.0, 5, 306265061, 289223647
DI-NEARP-n422-Q8k, 14443.0, 3, 311542083, 126929599
DI-NEARP-n422-Q16k, 14364.0, 2, 319781601, 74765124
DI-NEARP-n442-Q2k, 50447.0, 9, 303886104, 214174020
DI-NEARP-n442-Q4k, 44950.0, 5, 307259907, 205306680
DI-NEARP-n442-Q8k, 43261.0, 3, 311232427, 188865353
DI-NEARP-n442-Q16k, 42681.0, 2, 316300388, 51393866
DI-NEARP-n477-Q2k, 22893.0, 12, 303653873, 253285721
DI-NEARP-n477-Q4k, 19954.0, 6, 305418011, 218490836
DI-NEARP-n477-Q8k, 18492.0, 3, 309403952, 174076937
DI-NEARP-n477-Q16k, 17932.0, 2, 317163837, 52145563
DI-NEARP-n699-Q2k, 59058.0, 43, 303809268, 235551408
DI-NEARP-n699-Q2k, 39918.0, 21, 305353228, 265670893
DI-NEARP-n699-Q8k, 30627.0, 11, 308250098, 284151399
DI-NEARP-n699-Q16k, 26892.0, 6, 314217442, 248233390
DI-NEARP-n833-Q2k, 56273.0, 32, 307070712, 289242278
DI-NEARP-n833-Q4k, 41059.0, 16, 310358834, 305064330
DI-NEARP-n833-Q8k, 34555.0, 8, 317230741, 313828827
DI-NEARP-n833-Q16k, 32529.0, 4, 330433858, 300716247
mggdb_0.25_1, 280.0, 5, 9989270, 6423
mggdb_0.25_2, 349.0, 6, 12557041, 163196
mggdb_0.25_3, 278.0, 5, 10706288, 4200
mggdb_0.25_4, 289.0, 4, 9133266, 3886
mggdb_0.25_5, 394.0, 6, 11860035, 102821
mggdb_0.25_6, 292.0, 5, 10387573, 7890
mggdb_0.25_7, 290.0, 5, 9643536, 3869
mggdb_0.25_8, 336.0, 11, 26964746, 1390279
mggdb_0.25_9, 309.0, 10, 26827287, 728978
mggdb_0.25_10, 265.0, 4, 10098805, 17821
mggdb_0.25_11, 356.0, 5, 29386790, 55366
mggdb_0.25_12, 459.0, 7, 10533175, 36743
mggdb_0.25_13, 384.0, 7, 13518281, 35677
mggdb_0.25_14, 107.0, 5, 8010879, 5227
mggdb_0.25_15, 55.0, 4, 6927323, 3881
mggdb_0.25_16, 98.0, 6, 11105241, 9864
mggdb_0.25_17, 71.0, 5, 8295642, 3386
mggdb_0.25_18, 144.0, 5, 20015084, 5096
mggdb_0.25_19, 53.0, 4, 5365135, 3056
mggdb_0.25_20, 116.0, 5, 9089937, 3640
mggdb_0.25_21, 146.0, 6, 19194807, 76671
mggdb_0.25_22, 160.0, 8, 26484612, 792027
mggdb_0.25_23, 181.0, 10, 34022802, 1257936
mggdb_0.30_1, 273.0, 5, 10085672, 3351
mggdb_0.30_2, 301.0, 6, 11308729, 36982
mggdb_0.30_3, 270.0, 5, 9350075, 3615
mggdb_0.30_4, 260.0, 5, 8594178, 3925
mggdb_0.30_5, 388.0, 6, 12337556, 22327
mggdb_0.30_6, 276.0, 5, 10280686, 30798
