4493.00
14
1
0
0 1 1 14 74.00 3 (D 0,1,1) (S 31,2,3) (D 0,1,1)
0 1 2 129 415.00 9 (D 0,1,2) (S 32,2,4) (S 35,5,7) (S 36,7,8) (S 2,8,8) (S 23,9,9) (S 39,10,11) (S 120,12,76) (D 0,1,2)
0 1 3 40 193.00 4 (D 0,1,3) (S 30,1,2) (S 34,5,6) (D 0,1,3)
0 1 4 114 386.00 6 (D 0,1,4) (S 37,8,9) (S 38,9,10) (S 19,12,12) (S 9,76,76) (D 0,1,4)
0 1 5 114 463.00 5 (D 0,1,5) (S 33,4,5) (S 40,11,12) (S 11,77,77) (D 0,1,5)
0 1 6 75 274.00 3 (D 0,1,6) (S 111,4,69) (D 0,1,6)
0 1 7 40 288.00 3 (D 0,1,7) (S 20,16,16) (D 0,1,7)
0 1 8 11 298.00 3 (D 0,1,8) (S 110,59,69) (D 0,1,8)
0 1 9 39 304.00 3 (D 0,1,9) (S 16,59,59) (D 0,1,9)
0 1 10 29 306.00 3 (D 0,1,10) (S 41,12,16) (D 0,1,10)
0 1 11 50 316.00 3 (D 0,1,11) (S 18,48,48) (D 0,1,11)
0 1 12 35 331.00 3 (D 0,1,12) (S 123,76,77) (D 0,1,12)
0 1 13 78 421.00 3 (D 0,1,13) (S 100,11,59) (D 0,1,13)
0 1 14 79 424.00 3 (D 0,1,14) (S 85,11,48) (D 0,1,14)
